玩法,档位,价格元/计时按小时,情景,模型,期望毛W/元,估算净W/元,毛中位,毛P10,毛P90,200局结单率,平均局数,备注
三幻神专区,任意一个三幻神,488.0,base,legend,15.717938,13.060272,10.514243,7.009173,31.456588,1.0,16.008667,三目标成功局概率为明示假设，非官方掉率；默认目标须成功带出。
三幻神专区,任意一个三幻神,488.0,search,legend,11.112418,9.568706,8.157817,6.52892,19.92902,1.0,8.875667,三目标成功局概率为明示假设，非官方掉率；默认目标须成功带出。
三幻神专区,纵横／泪冠任选,1688.0,pressure,legend,19.61737,15.313777,15.51346,6.514118,40.568428,0.851833,93.539167,三目标成功局概率为明示假设，非官方掉率；默认目标须成功带出。
三幻神专区,纵横／泪冠任选,1688.0,base,legend,12.002382,9.974513,7.605767,5.858425,24.380387,0.9945,42.206833,三目标成功局概率为明示假设，非官方掉率；默认目标须成功带出。
三幻神专区,纵横／泪冠任选,1688.0,search,legend,8.494893,7.313951,6.073169,5.573483,14.871875,1.0,23.478,三目标成功局概率为明示假设，非官方掉率；默认目标须成功带出。
三幻神专区,指定纵横或泪冠,1888.0,pressure,legend,26.318674,20.545198,29.942718,7.066484,40.792499,0.556,140.373333,三目标成功局概率为明示假设，非官方掉率；默认目标须成功带出。
三幻神专区,指定纵横或泪冠,1888.0,base,legend,20.861505,17.339138,15.490164,6.063504,47.418818,0.897333,82.034833,三目标成功局概率为明示假设，非官方掉率；默认目标须成功带出。
三幻神专区,指定纵横或泪冠,1888.0,search,legend,15.016663,12.93044,9.781207,5.677599,32.01314,0.991333,46.422167,三目标成功局概率为明示假设，非官方掉率；默认目标须成功带出。
三幻神专区,三件套,4288.0,pressure,legend,14.241264,11.116584,15.219031,7.640916,18.382833,0.372,172.573,三目标成功局概率为明示假设，非官方掉率；默认目标须成功带出。
三幻神专区,三件套,4288.0,base,legend,11.988804,9.963775,10.555356,4.998966,21.686922,0.858667,107.144833,三目标成功局概率为明示假设，非官方掉率；默认目标须成功带出。
三幻神专区,三件套,4288.0,search,legend,8.649191,7.44674,6.565308,4.663716,15.895117,0.990167,60.7995,三目标成功局概率为明示假设，非官方掉率；默认目标须成功带出。
白嫖单,4次上限,688.0,pressure,white,8.43797,6.590802,7.579124,4.204453,14.309861,1.0,16.344333,
白嫖单,4次上限,688.0,base,white,8.954039,7.441398,9.295925,4.629256,12.678775,1.0,12.834833,
白嫖单,4次上限,688.0,search,white,9.314553,8.021287,9.632337,6.431994,11.432386,1.0,10.471,
白嫖单,7次上限,988.0,pressure,white,6.555732,5.122981,5.733497,3.245484,11.118951,1.0,18.1955,
白嫖单,7次上限,988.0,base,white,7.668081,6.371009,7.182748,3.663429,12.347341,1.0,15.821,
白嫖单,7次上限,988.0,search,white,8.95629,7.711511,9.686753,5.052031,11.572138,1.0,14.475833,
